Index,Original Comment,True Label,Predicted Label
255,physics teacher is car accident would have made perfect example for class,1,0
264,romney goes after obama with powerpoint presentation,0,1
265,heed my tragic story well friends for you could just as easily be me says chris christie in haunting rnc speech,1,0
266,american airlines us airways merge to form world is largest inconvenience,1,0
271,dare graduate celebrates first toke,1,0
282,caitlyn jenner on bathing suits wouldo not know if i am ready to expose myself,0,1
284,exclusive video sean hayes discovers family is criminal past,0,1
292,ceo would trade percent of stock options for percent more time with his kids,1,0
308,gunman kills at least two american advisers in kabul shooting,0,1
316,jcpenney abandons sale,1,0
336,global perceptions of china as a superpower,0,1
342,this disorder feels like being awake inside a corpse,0,1
344,god is gift to women returned,1,0
346,tina frost las vegas shooting victim wakes from coma,0,1
353,breaking can anyone ever truly know anything what is the truth,1,0
355,nobody touching punch at cia christmas party,1,0
362,nes still wasting life playing video games,1,0
378,stan van gundy calls himself out for his past use of term posse,0,1
380,mom uses face painting skills to turn kids into isomething magical,0,1
382,chelsea handler features brutal impression of sarah huckabee sanders on her show,0,1
389,billy ray cyrus to speak out on single payer health care issue on politically incorrect,1,0
398,after boy is killed by gator at disney his hometown unites to support family,0,1
402,concerned text from mom gleefully mocked like ramblings of village idiot,1,0
410,new york city makes overdose reversal drug available without a prescription,0,1
416,rewriting nepal is marked by sparkling english language debuts,0,1
417,damning report claims mexican federal police participated in disappearance of students,0,1
421,macy is parade float covered in tickets after parking on avenue over holiday weekend,1,0
436,second semester fling leads to first trimester abortion,1,0
447,scientists crack mystery of tiny traveling plants,0,1
453,page turners too addictive to put down,0,1
456,capsizing boat passes u s in global quality of life rankings,1,0
461,fbi chief releases composite sketch of dream house,1,0
476,wall street lobbyists and d c insiders wrong again on dol conflict of interest rule,0,1
484,from ball turret gunner to guerilla fighter,0,1
488,dana loesch rethinking loyalties after seeing how much airtime teen activists getting,1,0
505,new blog piece on woody allen to settle everything,1,0
519,tea party plans to recruit more coloreds this fall,1,0
539,internal email sinclair ceo tells employees not to let extremists bully them,0,1
546,russian interference had no impact on election reports website created minutes ago,1,0
553,calm sense of impending violence returns to middle east as ceasefire brokered,1,0
558,perfect attendance credited to abusive household,1,0
564,killed in violent kerfuffle,1,0
569,trump privately terrified his sexual assault victims will someday come forward,1,0
573,buddhist monks buy lobsters destined for the dinner table and set them free,0,1
579,illinois neglects child care payments for needy families,0,1
580,florist saves abusive relationship,1,0
581,veterans finding a new outlook outdoors,0,1
584,to the obese woman crying at the picnic table,0,1
585,michael bloomberg is ambitions may shake up the race and his media company,0,1
586,piggies written in blood on clouds only clue in shocking murder of six angels,1,0
591,all american ticket hails from alaska panama canal zone,1,0
615,bts proves k pop is power with spot on time magazine is most influential list,0,1
619,abby sunderland concocted history is most extreme plan to get out of a summer job,1,0
620,wouldraft biden effort debuts its first tv ad,0,1
624,lawyers separate mary kate ashley olsen in procedure,1,0
637,crayola ceo presents jarringly ambitious plan at annual shareholders meeting,1,0
639,bin laden conspiracy theories share one problem,0,1
644,dead from unexplained illness in liberia,0,1
645,ted cruz provides detailed response to moderator is question about why his face so fucking infuriating,1,0
657,hillary clinton campaign shuts down after blowing through billion in first month,1,0
661,reggie white to host fox is when atheletes talk,1,0
663,laffy taffy sponsors every cobblestone at memorial,1,0
682,jeb bush severing problematic connections,0,1
683,brain dead americans defend brain dead florida woman,1,0
687,in hunt for new antibiotics scientists look at bacteria in insects stomachs,0,1
692,real life nancy drew traces source of her hpv,1,0
694,assad vows swift retaliation on syrian civilians in response to u s missile strike,1,0
697,bob corker accuses wolf blitzer of having a great time pressing him about tax bill vote,0,1
701,bono outbids everyone at charity auction for bono autographed guitar,1,0
704,mrs butterworth is bottle central to terrifying lsd experience,1,0
710,fighting pests with sounds waves not pesticides,0,1
716,watch stunning holy fire ritual lights up orthodox easter,0,1
718,jared kushner mercilessly mocked over reported security clearance downgrade,0,1
720,airbnb apologizes for posting snarky ads aimed at schools libraries,0,1
721,housefly drops everything to go stand on watermelon slice,1,0
723,actor nils hognestad performs in front of a live audience on some assembly required,0,1
736,if men menstruated would periods still be taboo,0,1
739,sexual fluidity makes singer kacy hill feel like a woman,0,1
753,neighborhood has gotten a lot safer since mayor vanquished fire troll,1,0
754,delta airlines is showing carol with same sex kissing edited out,0,1
755,nobody in ukraine notices absence of government,1,0
758,genius napping inventions to get you through monday,0,1
771,minnesota braces for return of bachmann is full attention,1,0
772,india opens new mohandas k gandhi nuclear testing facility,1,0
774,guy in rome does as the tourists do,1,0
781,alex trebek raps his way through an entire jeopardy category,0,1
782,trump america has not been stronger or more united since i first opened my eyes and created the universe,1,0
788,carol blows up nothe walking dead season premiere,0,1
798,psychic helps sniff out missing pet skunk,0,1
806,another friends star to appear in another big screen bomb,1,0
809,most items at garage sale haunted,1,0
813,wall street journal ads call out the paper is bias on climate change,0,1
815,doritos good,1,0
816,world is supermodels form hall of justice to protect ordinary models,1,0
822,criminal mad that man called the cops on him,1,0
828,trump thinking of beginning rnc speech with sexist tirade he was saving for special occasion,1,0
830,civic eagle app wants to bring americans face to face in online debate,0,1
841,does strange death curse haunt cast of gone with the wind,1,0
845,putin will try the how you say fried chicken,1,0
849,hero shop saves hundreds from hunger,1,0
865,patient zero kicking back in with episode of new girl,1,0
874,new versus old electric slide confusion blamed in wedding reception pileup,1,0
892,teacher removed from classroom over white nationalist podcast says it is satire,0,1
895,family business,0,1
898,fred willard a huge hit at counseling session,1,0
899,naked women feared lost in computer crash,1,0
902,mark wahlberg missed his brother is wedding,0,1
908,mike pence has long heart to heart with staffer who came to work with coffee on breath,1,0
914,bitcoin plunge reveals possible vulnerabilities in crazy imaginary internet money,1,0
919,man shares baklava with airline passengers who profiled him,0,1
924,stone hearted ice witch forgoes exclamation point,1,0
925,microsoft unveils next best thing to teleportation,0,1
926,theresa may puts on headphones to hear english translation of trump is address,1,0
928,sound of children is laughter music to disney focus group leader is ears,1,0
931,a taste of proper fun bermuda,0,1
932,man who never missed ally mcbeal back in the day joins trump legal team,1,0
941,returning west virginia teachers unceremoniously toss hundreds of dead class pets into trash,1,0
947,bacon just one of sprint is new downloadable ring scents,1,0
950,next week is school shooting victims thank senate for failing to pass gun bill,1,0
958,granta derided by philistines,1,0
961,mccain late to debate due to greyhound delays,1,0
969,harry potter actor alfred enoch says there is no reason hermione can not be black,0,1
976,owners of google hope to parlay world is most popular website into book deal,1,0
979,neighbors come together to watch bmw owner struggle in snow,1,0
989,mitch mcconnell reminds senators that they will have to make up government shutdown days at end of year,1,0
991,supreme court justices keep citing cases roberts and alito are too young to remember,1,0
1001,your neighbors should you consider talking to them,1,0
1006,woman with furrowed brow on airplane carefully studies article about which actress wore dress better,1,0
1013,aarp calls for comfier booths at denny is,1,0
1015,michelle obama not so keen on president is new bangs,1,0
1017,saudi crown prince is unprecedented power grab could come to haunt him,0,1
1018,little boy gives himself epic pep talk before jumping into a pool,0,1
1022,ted danson totally nails tonight show interview,1,0
1027,small town sheriff has actually killed surprising amount of people,1,0
1035,slow thinking bystander weighing pros and cons of pulling man out of river,1,0
1036,a blue fuzzy fighter stole the spotlight before mayweather mcgregor fight,0,1
1046,new religious freedom bill gives small business owners right to annul any gay marriage,1,0
1047,merger of advertising giants brings together largest collection of people with no discernible skills,1,0
1050,leno to tell outrageous o j joke,1,0
1061,white house infested with bedbugs after biden brings in recliner off the curb,1,0
1066,germany disavows ties with the scorpions,1,0
1069,iraq militants strike air base seize oilfields,0,1
1077,which roadtrip movie character are you,0,1
1079,benghazi committee instructs hillary clinton to limit answers to i failed the american people,1,0
1091,ladykiller gets life sentence,1,0
1097,clinton says badtz maru may be his favorite sanrio character,1,0
1098,physically fit emotionally stable kim jong un addresses un after finally getting nuclear ambitions out of system,1,0
1103,nothe huffpost show takes on loretta lynch stalemate,0,1
1111,ferguson pool supply store overestimating how badly looters want chlorine tablets,1,0
1113,report things finally as bad as trump claims,1,0
1117,reid warren meet with progressive groups ahead of looming government shutdown,0,1
1120,woman claims to reenact michael phelps affair in going for the gold porno,0,1
1126,study proves exactly how gross bathroom hand dryers really are,0,1
1132,gmail user pities hotmail user,1,0
1139,huffpost pollster polls and charts,0,1
1143,jpmorgan chase hit with multi million dollar fine for shady investment advice,0,1
1159,isix million dollar man star martin e brooks dead at age,0,1
1161,al gore criticizes obama over arctic drilling,0,1
1181,animals wearing pajamas just because,0,1
1185,of area woman is holiday recipes involve pulverizing bag of oreos,1,0
1188,panicking mitch mcconnell shoves entire senate healthcare bill into mouth as democrat walks past,1,0
1192,driver rules out driver error in crash,1,0
1195,secrets of a professional present purchaser,0,1
1196,defense department typo results in u s attack on ira,1,0
1199,texas to execute man for murdering boy and drinking his blood,0,1
1208,proof that it pays to piss off sarah palin,0,1
1209,mom to be breaks big news to husband with airplane pilot is help,0,1
1210,suspect spills beans about planned burglary in mistaken call,0,1
1220,ryan seacrest catches up with captain phillips star maersk alabama on red carpet,1,0
1221,stacey dash still just as clueless,0,1
1228,enjoyment of steve miller band is jungle love last piece of common ground in america,1,0
1229,report you to learn names of reprehensible public officials this week,1,0
1230,trump called up for vietnam service after last of draft deferments expires,1,0
1233,crude but functional starbucks hewn from rock facing,1,0
1245,sharon stone to star in major backstage drama,1,0
1248,eggs good for you this week,1,0
1249,man robbed own grandmother forced her to drink alcohol police,0,1
1251,metlife goodyear tragically merge,1,0
1253,judge pumps self up before verdict by listening to andrew w k,1,0
1256,semester at sea students steal anchor for dorm room,1,0
1266,jennifer lopez billboard music awards gown is super see through obvi,0,1
1272,entire nyc subway system now consists of single handcar,1,0
1275,co op casino robbed again,1,0
1287,teen breaks rules in socially accepted ways,1,0
1290,law abiding citizen keeps herself on track with weekly cheat day,1,0
1306,local man foremost expert on what the terrorists should do if they really want to hurt us,1,0
1307,ways to respond to strangers who comment on your amom bod,0,1
1324,look surfer almost runs over shark with stand up paddleboard and has no idea,0,1
1326,trump is switzerland trip cancelled as president deemed flight risk,1,0
1331,michigan state reps reportedly heard about abuser larry nassar and did nothing,0,1
1341,source of jealousy not even that successful,1,0
1342,hershey is announces it is all out of candy,1,0
1347,polio could be stopped worldwide by year is end says gates foundation,0,1
1349,amazing couple adopts siblings to keep them together,0,1
1350,buttery goodness now america is top domestic product,1,0
1373,affluenza mom tonya couch has curfew eased so she can find a job,0,1
1376,terrorism storylines being added to tv shows as quickly as they were dropped,1,0
1383,several injured by accidental gunfire at waldorf astoria wedding party,0,1
1387,subwoofer worth the horrible credit rating,1,0
1390,field trip mishap fulfills child is wish to be oscar mayer wiener,1,0
1391,weird couple has greatest sex of their lives after announcement of disney lucasfilm merger,1,0
1411,a trove of lost and found photos reveal one mystery couple is beautiful life,0,1
1414,hobby lobby to improve work performance through biblical punishments,0,1
1421,beyonce shows love for cha cha and lone star beer,0,1
1426,lucid dreaming new horizons for research,0,1
1430,museum proudly exhibits picasso shitty enough to be in kansas city,1,0
1434,wouldiversity was the real winner last night report hundreds of dumbasses whose very existence insults the name of journalism,1,0
1439,today particularly rough day for east village junkie transvestite,1,0
1440,freshman bares her soul to entire dorm floor in first week,1,0
1442,video shows e cigarette suddenly explode in new jersey woman is handbag,0,1
1447,days of online dating naughty by nature,0,1
1448,friends can not stand couple is public displays of hostility,1,0
1453,trump gives muslim on fence about radicalizing just the push he needed,1,0
1463,mozambique devises national plan to end child marriage,0,1
1466,area dad saw a great show on bigfoot last night,1,0
1469,white castle plundered by turks,1,0
1472,terrifying and magical capabilities someone has when you fall for them,0,1
1473,girl scouts rocked by cookies for cash fundraising scandal,1,0
1480,hawaii supreme court hears case against controversial telescope,0,1
1482,was awful for pretty much everything except podcasts,0,1
1483,unhrc decay needs urgent treatment,0,1
1488,you got it trademarked,1,0
1492,son attempts to cultivate parents interest in better movies,1,0
1496,sydney mclaughlin makes u s olympic team in meter hurdles,0,1
1497,older brother of omran daqneesh dies from injuries sustained in airstrike,0,1
1503,john kelly apologizes for assuming everyone would ignore abuse allegations like they do in military,1,0
1506,red cross accused of wartime non profiteering,1,0
1513,twitter creator on iran i never intended for twitter to be useful,1,0
1514,boehner hoping to remain leader of republican parties,1,0
1530,west virginia celebrates as die in non mining related accident,1,0
1534,pope francis wears miter with faceshield to comply with new vatican safety measures,1,0
1541,sxsw apologizes for asking u s olympian ibtihaj muhammad to remove hijab,0,1
1546,motorcyclist salvaged for parts,1,0
1551,celebrity collector alison sweeney,0,1
1555,hulking strongman now only voice of reason in republican party,1,0
1556,avengers sequel picks up where first film is profits left off,1,0
1565,turkish soccer body penalizes kurdish club amid mounting tensions,0,1
1567,when art becomes poison,0,1
1568,tesla announces major upgrade to original roadster,0,1
1574,small change in procedure wendy is manager is crowning achievement,1,0
1575,robert downey jr volunteers to voice mark zuckerberg is real life jarvis,0,1
1584,mom who drove kids into ocean gives birth,0,1
1587,someone spotted a new pixar easter egg from nothe good dinosaur,0,1
1594,tick happy where he is,1,0
1595,budget cuts force british government to shut down mysterious seaside village,1,0
1598,cat stevens declares jihad on james taylor,1,0
1605,fast track derails democracy,0,1
1610,jupiter is liberals worried about their ammonia footprint,1,0
1614,nra says mass shootings just the unfortunate price of protecting people is freedom to commit mass shootings,1,0
1619,atlantic city casino can regulate waitresses weight ruling says,0,1
1620,new country music video has look of rock video,1,0
1625,talk show host takes brief break from mocking jessica simpson to interview her,1,0
1627,google is homepage design stirs controversy,1,0
1630,garroting survivors call for wire ban,1,0
1632,wheel of fortune contestants hit hard as vowel prices skyrocket,1,0
1643,kate middleton feels royal baby kicking during queen is coronation anniversary,1,0
1646,teary eyed student loan officers proudly watch as asset graduates from college,1,0
1648,alec confidential inside the secretive group is annual conference,0,1
1651,factors in birthday money,1,0
1663,breaking daniel throwing his life away you should call him he dropped out of wharton wharton for god is sake,1,0
1667,rex tillerson shoots mike pompeo quick email explaining all the countries,1,0
1670,man is relationship advice same as his hunting tips,1,0
1671,buying everything hairstylist recommends would cost,1,0
1673,bo obama addresses graduates of dayton obedience school,1,0
1675,new historical evidence suggests most pilgrims sailed back home to celebrate first thanksgiving,1,0
1677,obama calls for turret mounted video cameras on all police tanks,1,0
1679,sanders ramps up spending in effort to catch up to hillary,0,1
1681,fool me once,0,1
1700,fixin is added to food pyramid,1,0
1703,babbling grinning mitch mcconnell demands emts loading him on stretcher vote yes on healthcare bill,1,0
1704,trump promises u s will continue to recognize preserve palestinians historic refugee camps,1,0
1705,parents are loving this touching letter written from a newborn is perspective,0,1
1711,women reveal the real purpose of workout clothes,0,1
1715,kim jong un is absence leaves north korean government officials no one to agree with,1,0
1724,prince is former flame sheila e mourns death of music legend nothank god love lives forever,0,1
1727,floor plan of retirement community defibrillator locations,1,0
1736,cable tv judge overruled by network tv judge,1,0
1740,out of control angel kills dozens of bystanders at vatican air show,1,0
1741,sea lion yanks man off boat in effort to snatch fish,0,1
1750,cdc attempts to put ebola outbreak in perspective by releasing list of worse ways to die,1,0
1754,butter cow sculpture wins iowa caucus,1,0
1758,lester holt fills in for brian williams during family is nightly dinner,1,0
1774,nra touts oliver north is expertise at avoiding jail time for colluding with hostile foreign powers,1,0
1776,super bowl ads are a great way to waste money,0,1
1779,rolling stones kick off ising our songs for us tour,1,0
1790,former marine sniper slapped with restraining order,1,0
1795,freakonomist keeps close eye on ge stock versus height of mexican weightlifters,1,0
1804,man builds rad all terrain wheelchair that looks like a tank for war hero dad,0,1
1810,bakery owner vows to stop making wedding cakes altogether after pro gay court ruling,0,1
1811,whale regrets eating plastic poker chips that fell off container ship,1,0
1816,american medical association changes stance on self immolation,1,0
1825,aretha franklin demands f u d g e,1,0
1831,he told his boyfriend i love you his boyfriend is response brought him to tears video,0,1
1832,nra sends complimentary bereavement gun baskets to families of shooting victims,1,0
1846,pitbull is tasteless memorial day tweet brings americans together,0,1
1860,biden searching white house one last time for missing pet snake,1,0
1869,china is sexiest panda obliterates own record in latest sex romp,0,1
1880,test driven teacher evaluations strike out,0,1
1883,trump hotels buck industry trend continue to offer guests porn,0,1
1885,trump threatens to veto spending bill over border wall funding then signs it,0,1
1889,the elderly do they suspect,1,0
1896,marco rubio avoids criticizing jeb bush after debate tussle over missed senate votes,0,1
1900,miracle cyclist crashes into high speed train and survives,0,1
1902,registered child sex offenders will soon have convictions noted on their passports,0,1
1903,climate change and children a call for action,0,1
1904,danny masterson is publicist suggested a woman can not be raped by a man she is in a relationship with,0,1
1912,mike pence vows to cut conservation funding after discovering elk do not mate for life,1,0
1917,for national coming out day lgbtq sports people who have come out in the last year,0,1
1921,from to a study in artificial maturity,0,1
1922,american people shrug line up for fingerprinting,1,0
1928,loser congressman carries around pocket sized version of constitution everywhere,1,0
1930,neons to come in three hideous new colors,1,0
1931,bassnectar debuts two new hard hitting tracks talks new album unlimited,0,1
1935,u s changes motto to america we are gonna make ya smile,1,0
1940,america is love affair with jim breuer to start any day now,1,0
1941,humanity still producing new art as though megadeth is rust in peace does not already exist,1,0
1944,ethiopia to release all political prisoners in bid to foster reconciliation,0,1
1946,justin trudeau unveils plan to meet healthcare needs of canada is aging prog rockers,1,0
1948,mom wants one of those things your sister has for christmas,1,0
1950,u s assures hong kong that their protest just one of many issues white house staying silent on,1,0
1956,clinton fumbles with submarine controls everything is in german he shouts,1,0
1969,new indie film sweeps cannes sundance,1,0
1970,busy woman keeps best dressed oscar slideshow tab open to be savored as sumptuous feast at her leisure,1,0
1971,starz outlander world premiere and tartan carpet gala,0,1
1979,call from daycare can not be good,1,0
1982,financially struggling trump campaign holds fundraising riot,1,0
1987,clinton tests positive for presidency enhancing drugs,1,0
1990,user experience hygiene or strategic differentiator,0,1
2002,idris elba does not think he or any man is right for the role of james bond,0,1
2010,rare autographed portrait of jesus purchased at estate sale,1,0
2013,handshake comes in at unusually high angle velocity,1,0
2014,amanda slavin not just a statistic,0,1
2016,aurora releases theater shooting response report,0,1
2024,dick masturbates in tickle creek cops,0,1
2032,chris murphy congress giving quiet endorsement to murders,0,1
2036,stunted still writing chuck palahniuk novels,1,0
2039,report laura is divorce threatens razor thin democratic majority in family,1,0
2041,ivana trump calls ex husband to ask him what he did to her beautiful baby boy,1,0
2042,cupcake burglar busted thanks to frosting,0,1
2044,adorable panda cub bei bei makes a very sleepy public debut,0,1
2055,starr taunts clinton with humiliating isittin in a tree song,1,0
2060,beijing air solidifies,1,0
2064,employees given list of doctors shitty enough to accept company is health insurance plan,1,0
2073,bbc reveals happy ending to planet earth ii is most heartbreaking scene,0,1
2083,investors stake out greenspan is house for signs of rate increase,1,0
2095,paul ryan is attempt at being a relatable emoji guy backfires,0,1
2098,supreme court agrees to hear new jack white album,1,0
2116,cocky attempt to operate atm in spanish backfires,1,0
2127,dina and caroline manzo get blunt about family feud,0,1
2128,brown workers put company in the black,1,0
2132,budget talks dreadlocked,1,0
2134,after seeing a fifth grader get bullied this group of boys vowed to stand up for him,0,1
2138,chris harrison says he does not have time to hate watch unreal,0,1
2142,new study reveals nothing pfizer is lawyers can not take care of,1,0
2149,florida resort allows guests to swim with miami dolphins,1,0
2158,mexico city stages james bond inspired day of the dead parade,0,1
2161,stephen colbert mocks lawmakers for talking porn instead of guns,0,1
2175,bid to save gawker com falls short,0,1
2178,black freshmen at university of pennsylvania receive racist messages depicting lynchings,0,1
2189,the single american woman,0,1
2190,puerto rico governor calls for cancellation of whitefish contract,0,1
2193,father apologizes for taking out anger on wrong son,1,0
2199,jury finds cinemark theater chain not liable in colorado movie massacre,0,1
2201,fox news guest says confederate and pride flags are nothe exact same thing,0,1
2202,overheard in minnesota dontcha know,0,1
2203,fat bottom girl,0,1
2206,ben carson wows iowa state fair attendees with massive brain,1,0
2210,panthers donate to each family of charleston shooting victims,0,1
2219,some guy who is not stephen colbert to deliver college is commencement speech,1,0
2220,trump administration announces new bill design honoring harriet tubman is owners,1,0
2227,umpqua community college was not exactly a gun free zone,0,1
2230,teen unsure how to break it to parents that the devil got her pregnant,1,0
2237,betsy devos argues issue of guns in schools should be fully left up to individual shooters,1,0
2239,genuine happiness now seen only on game shows,1,0
2242,decision to circle parking lot produces carbon emission that finally does it,1,0
2244,sex scandal sinks klemke reelection bid,1,0
2250,disturbance of arafat is grave casts horrible curse on middle east,1,0
2255,adam sanderson sees social media digital technology as the smart way to grow disney is official fan club,0,1
2258,judge dismisses domestic violence charges against ray rice now what,0,1
2262,usa today crossword puzzle grants false sense of intelligence,1,0
2267,romney delivers stern warning to china speaking directly into the camera in fluent mandarin,1,0
2284,horrified by johnson johnson is tactics a sales rep wears a wire,0,1
2304,amy god i have discovered the missing link in the russia investigation think reddit users simultaneously,1,0
2310,occasionally you realize someone you thought was a dear friend is actually a foe their true character finally revealed but how do you forgive the unforgivable here are my steps to handling betrayal with elegance and grace,0,1
2312,trump preemptively tells melania he will not give her a kidney,1,0
2313,a valentine like no other,0,1
2316,nurse jackie star haaz sleiman comes out as gay and a nototal bottom,0,1
2318,new contraception law would require teenagers to consult with different peers before selecting birth control method,1,0
2319,liquor commercial featuring dance party on pirate ship also includes important message about responsibility,1,0
2327,kim jong un reopens long closed border hotline with south korea,0,1
2328,john kerry attempts to bully codepink into silence,0,1
2333,i promise to work tirelessly to achieve my campaign is goals threatens trump in terrifying address,1,0
2334,secret service is prostitution scandal did not affect president is security white house adviser madame chartreuse says,1,0
2336,our nation is guard rails are they safe enough,1,0
2338,obama weighing his syria option,1,0
2341,stepping back into now,0,1
2350,hillary clinton sends pizza to fans camping out overnight for her book signing,0,1
2363,your backyard burgers are bursting with gross bacteria,0,1
2364,report american dream now an out of court settlement,1,0
2375,controversial photo editing app under fire for makeup removal feature,0,1
2382,college freshman from florida has never seen people complain about snow for months before,1,0
2393,rock song takes pro rock stance,1,0
2410,auction won by crab with stuck in claw,1,0
2417,huffpost hill president eats burrito instead of revealing benghazi truths,0,1
2420,woman survives plunge from parking garage in bmw,0,1
2423,arby is ceo arrested with trunk full of stolen horsey sauce,1,0
2452,beyonce is out there making corset pants happen,0,1
2457,nation is creepy middle school gym teachers also come out in favor of circumcision,1,0
2472,house democrats on record breaking fundraising pace,0,1
2478,a megadrought looms and we can not just wait for more rain to stop it,0,1
2481,lester jackson gets his sorry ass home,1,0
2482,theory of intelligent school board design disproven,1,0
2490,oklahoma leaders claim teachers strike betrays values of nation is founding by abraham lincoln and orville redenbacher,1,0
2491,breakup does not seem to have changed relationship,1,0
2494,trump takes moment to thank all the fear in audience for making this night possible,1,0
2496,kushner does not want to give up his security clearance as john kelly cracks down report,0,1
2497,colleges pressured by feds to avoid asking about criminal records on applications,0,1
2508,this man just starred in his first porn,0,1
2520,treasure hunters discover wreck of carnival cruise ship,1,0
2521,carly fiorina shares heartbreaking story about father of who could not meet sales goals,1,0
2523,national park service studies historic lgbtq sites for possible recognition,0,1
2529,midwesterners descend on insurance company is free nail files,1,0
2530,vietnam from hell to heaven on earth,0,1
2532,mugger can not believe crap victim has on player,1,0
2536,real life twister kills,1,0
2539,restaurant teaches former inmates to cook helps them get back on their feet,0,1
2550,younger siblings are good for older siblings health,0,1
2555,mlb announces new domestic violence policy,0,1
2558,squirrel who lost paws in trap gets prosthetic wheels,0,1
2563,bill clinton sorry for the drug war,0,1
2565,new school shooter drill includes practicing pleas to lawmakers to do something about this,1,0
2573,kimmy schmidt star tituss burgess follows up peeno noir with ode to multicultural penis,0,1
2577,breaking we are doing a bad job,1,0
2586,scott bakula jumps into mccain is body just before election,1,0
2599,expansive obama state of the union speech to touch on patent law entomology the films of robert altman,1,0
2605,sherwin williams triumphantly reports nearly half the planet covered in paint,1,0
2609,new dating site matches users with partners they deserve,1,0
2615,i fell in love carrying another man is child,0,1
2620,even prison officials want to curb solitary confinement,0,1
2621,dog just can not stop smiling ever since she found a home,0,1
2623,long shot push to force senate to confirm merrick garland fails in federal court,0,1
2624,supposed game of thrones buff has not even finished books yet,1,0
2627,cm punk talks ufc and his first opponent,0,1
2628,women is strike a sobering reality check for subway masturbator,1,0
2640,conservatives start spending to block obama supreme court nominee,0,1
2642,copy editors killed in ongoing ap style chicago manual gang violence,1,0
2645,orange workout gear that will legitimately up your gym game,0,1
2660,mcdonald is now offering bereavement prices,1,0
2662,college student wants people to eat chik fil a and ketchup off her body,0,1
2668,tanned exquisitely coiffed bernie sanders tells supporters corporations actually have a lot to offer,1,0
2670,surprise international visit makes for heartwarming first meeting between grandson and grandparents,0,1
2674,theater major has too long borne shakespeare teacher is blunt upbraidings bitter scoffs,1,0
2678,trump and china risk sparking dangerous middle east arms race,0,1
2679,leather clad nomads seize power in australia,1,0
2692,white house publishes contact information of people who wrote to it concerned about privacy,0,1
2698,does a reasonable worker lactate,0,1
2699,danny tanner was once played by a completely different guy,0,1
2703,british crew member dies during round the world yacht race,0,1
2708,bubble boy finally comfortable in his own skin,0,1
2722,hillary clinton gives emotional shoutout to daughter of slain sandy hook principal,0,1
2723,clinton campaign launches latinos for hillary,0,1
2724,john kerry jettisons russian henchmen from international space station airlock,1,0
2726,emeril bams groupie,1,0
2727,gravedigger suspended after taking photo with dead man,0,1
2736,movie studio blows whole budget on big name gaffer,1,0
2737,jimmy carter to make rare address to britain is house of lords,0,1
2740,sanders says clinton is platform could determine how much he would campaign for her,0,1
2741,opium inspired ad executive composes epic tums jingle,1,0
2742,law enforcement questions why alton sterling was even black in the first place,1,0
2743,obama visits kindergarten to read class memorandum on health care,1,0
